Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666480446.9,737430167.6,763687150.8,837988826.8,894972067,925139664.8,956424581,1017318436,1087709497,1148603352,1228491620,1320111732,1476536313,1517318436,1420111732,1445251397,1567597765,1582681564,1603307263,1629740588,1639471893,1627165701,1704985835,1783360156,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36025E+11,1.40722E+11,1.43273E+11,1.40568E+11,1.51097E+11,1.72274E+11,1.68534E+11,1.80834E+11,1.73261E+11,1.68792E+11,1.82244E+11,1.60977E+11,1.61357E+11,2.11384E+11,2.60478E+11,2.99468E+11,3.29921E+11,3.72083E+11,3.91076E+11,4.19186E+11,4.90887E+11,5.4335E+11,5.78186E+11,5.91194E+11,6.07983E+11,5.94507E+11,5.69737E+11,6.26883E+11,6.40609E+11,6.40845E+11,5.83229E+11
Afghanistan,466666655.6,477777737.8,466666655.6,702222244.4,762222182.2,995555555.6,1422222222,1711111100,1371111151,1386666667,1691108967,1826664358,1544444496,1637777771,1984444462,2173333413,2248888958,2680000058,2942222153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,47536047528,46939493900,48646543929,54335213270,65479810987,60597681793,64019460186,67894061137,55383488411,66955924382,67963173209,73053302397,63429441910,53081585685,67846140347,77148853618,75504567539,81954712427,82541065260,73194341115,91875304007,1.14886E+11,1.32029E+11,1.5643E+11,1.88929E+11,2.19053E+11,3.04182E+11,3.46644E+11,3.36894E+11,3.8896E+11,4.30437E+11,4.32377E+11,5.62123E+11,5.85812E+11,5.68631E+11,5.26265E+11,5.09271E+11,5.36087E+11,5.65752E+11,5.28254E+11
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3923830541,6344721596,7651123297,9800829289,11813247269,15215079117,20220191093,25495565975,29678121205,29998335861,37988814786,45343032165,51338441413,64793469847,61285178784,56655442162,69833448902,57124166978,49904765507,37765120087
Albania,,,,,,,,,,,,,,,,,,,,,,,,,1169370651,1182331059,1309162500,1337825025,1370649988,1453374975,1271486850,1036054826,1079374623,1468051509,1903197901,2191517725,3012060414,2211622359,2408897857,2779681390,2879465030,3067457887,3479963078,4507740317,5547255008,6195705830,6905407968,8730513481,10703597133,9734054482,9316035626,10093393382,9605385999,10224729628,10686670459,9188594628,9602956280,10364718724,11949241220,12260690546,12240992825
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,20858849842,22866831175,26021567896,28741814046,32913314564,38166424001,47641664260,64638913116,76173999561,1.00689E+11,1.16469E+11,1.43701E+11,1.71014E+11,1.89346E+11,2.14134E+11,2.21726E+11,2.33803E+11,2.43713E+11,2.49067E+11,2.61168E+11,2.58538E+11,2.87149E+11,3.42036E+11,2.41034E+11,2.50847E+11,2.70425E+11,2.74893E+11,2.99843E+11,3.1936E+11,3.37995E+11,3.44585E+11,3.51132E+11,3.54751E+11,3.55719E+11,3.60041E+11,3.82036E+11,4.31455E+11,4.84213E+11,5.61925E+11,6.78331E+11,8.15945E+11,8.27713E+11,8.76164E+11,9.48411E+11,1.05373E+12,1.12611E+12,1.219E+12,1.22553E+12,1.24902E+12,1.21598E+12,1.26501E+12,1.31894E+12,1.34976E+12
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61087656610,67397163131,72834474935,89820739523,1.01765E+11,1.24445E+11,1.55002E+11,1.84183E+11,1.32574E+11,1.22408E+11,1.34649E+11,1.20398E+11,1.32395E+11,1.46219E+11,1.26825E+11,1.29234E+11,1.43858E+11,1.61716E+11,1.63876E+11,
Argentina,,,16395100921,13112305455,17583550655,19106470077,19179524090,16142121568,17818286029,20788000652,20514474653,22087199393,23061625752,34502333870,46339887782,30479729907,28960251674,32792999467,33769836090,43597131260,,,,,,,,83810953046,93037499273,56337114317,1.09038E+11,1.52619E+11,1.87278E+11,1.63839E+11,1.80007E+11,1.76909E+11,1.86487E+11,2.03029E+11,2.06434E+11,1.98869E+11,1.97044E+11,1.85164E+11,60489618364,80632168516,1.05927E+11,1.25263E+11,1.47139E+11,1.79796E+11,2.28051E+11,2.09702E+11,2.72113E+11,3.40473E+11,3.54361E+11,3.64268E+11,3.44124E+11,3.91974E+11,3.6642E+11,4.29555E+11,3.40833E+11,2.87821E+11,2.43636E+11
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097242665,1185714286,1198276570,1121936494,1240030765,1558290760,1601937011,1692914798,1891036670,1772487198,1952969829,2084836594,2226637133,2459315445,3103200112,3892154877,4852783287,6937584319,8780604858,7311605295,7987633427,8925575750,9119853944,9652153905,9931611575,8222722419,8047086900,9225424286,9941548432,11408527218,9533073733
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312000000,332000000,357000000,367000000,375000000,384000000,407000000,398000000,401000000,411000000,420000000,446000000,463000000,460000000,463000000,471000000,487000000,506000000,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289333333.3,350814814.8,368888888.9,424407407.4,421296296.3,415555555.6,454222222.2,479296296.3,522037037,501777777.8,570481481.5,593185185.2,715962963,834518518.5,971259259.3,939148148.1,666259259.3,779407407.4,810111111.1,893740740.7,884962963,906239504.6,890207003.3,915629375.9,870182307.8,854446643.5,827715385.8,823486825.5
Australia,10721245380,11403292642,11753835816,12556837272,13637585396,14785530295,15750923956,17033262403,18553029455,20191510807,22344047486,24601859111,28394859813,34716207559,47565217391,54346579271,58575570402,62540720349,68515677871,76389867091,83822841226,99013119703,1.08743E+11,1.04656E+11,1.09864E+11,99610339802,1.02623E+11,1.07454E+11,1.30531E+11,1.63056E+11,1.71444E+11,1.8605E+11,1.91453E+11,1.81424E+11,1.85848E+11,2.12605E+11,2.30765E+11,2.48515E+11,2.29661E+11,2.26273E+11,2.41097E+11,2.21921E+11,2.28781E+11,2.72868E+11,3.55531E+11,3.99544E+11,4.23252E+11,4.83954E+11,5.96982E+11,5.08444E+11,6.43893E+11,7.64188E+11,8.42959E+11,8.75726E+11,8.21564E+11,7.73078E+11,7.04113E+11,7.54139E+11,8.0819E+11,7.72066E+11,7.14263E+11
Austria,,,,,,,,,,,8482339772,9889050556,12074446098,16009432146,19001290489,22715303784,24563575976,29926573141,34856337534,41267965003,46366405020,40849464317,41120159716,42493480159,39307519428,40055490157,56376190176,70543779930,75073413574,74514275611,93081889144,96315013553,1.09466E+11,1.06682E+11,1.13375E+11,1.32423E+11,1.31693E+11,1.16529E+11,1.18524E+11,1.16481E+11,1.0601E+11,1.06782E+11,1.14242E+11,1.41534E+11,1.62073E+11,1.70025E+11,1.78802E+11,2.02181E+11,2.23001E+11,2.14018E+11,2.0967E+11,2.30131E+11,2.18878E+11,2.30787E+11,2.3601E+11,2.01152E+11,2.06732E+11,2.1852E+11,2.36167E+11,2.30099E+11,2.15491E+11
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284916666.7,1031360000,925703184.7,2038971338,2785074974,2950570819,3557249935,3471601942,3396289674,3510039729,3922443942,4363303126,4844713544,5579225725,7785314529,11039272812,16334104187,18937546653,20826439073,24572622515,27504964358,31077119184,34189213311,30087936756,22231434480,23533000232,25507235294,27703411765,25802000000
Burundi,180250010,187249992,197750006,224000000,227499992,142260148.1,146169142.9,155061714.3,159533714.3,163313142.9,210278857.1,221347428.6,215300571.4,259973008.8,307786666.7,385624127,381737971,423510000,492374444.4,632213333.3,840438888.9,841312222.2,927898877.8,915723507.3,847544891.8,1012753291,1070843317,946915446.7,948411678.5,964107379,1070392105,1090462266,983960120.6,804853828.7,867881659,889763173.6,710268981.3,795186604.2,782295119.5,681560082.3,803266672.8,794413799.4,772739059.5,700565823.7,806307454.7,1009870193,1198080732,1234325169,1492415223,1495088683,1646834649,1926254355,1975745502,2183909086,2313445300,2341162861,2295617361,2420295480,2366220173,2335513651,2425349093
